Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
Current Boost,Journeyman,CRAFTING AND LABOR,Talents,6,,,Treat Humor,,Spend 5 minutes to grant them 1 use of “Current Block” that grants a defense against any one Humor. This talent can be used on yourself.
Implant/Extract Enhancement,Journeyman,CRAFTING AND LABOR,Talents,4,,,Knowledge Engineering,,Spend 10 minutes roleplaying on a target. Allows you to install an implant into a target. The target is stabilized during this talent. Also allows you to remove it from a target in the same amount of time.
Reattach Limb,Journeyman,CRAFTING AND LABOR,Talents,5,,,Set Limb,,Spend 5 minutes roleplaying with a target who has a Severed limb. You reattach 1 Severed limb. Limb can’t be used for the next 5 minutes.
Resuscitate,Journeyman,CRAFTING AND LABOR,Talents,8,,,4 First Aid Proficiencies,,Spend 5 minutes treating a target that is in the Third Stage Death Count. The target is stabilized during this talent. The Target receives a Life effect.
Triage Site,Journeyman,CRAFTING AND LABOR,Talents,6,,,First Aid,,"Spend 1 minute setting up an area. Once completed, you create a circle that is 10- foot radius from you. Anyone that enters that radius has their Death Count paused. The area must be marked. The Triage Site remains as long as you stay within it."
Accomplishment,Journeyman,CRAFTING AND LABOR,Talents,5,,,,,"After you teach a target a skill with Teach or Training Session, they gain +1 to a proficiency or +1 level of knowledge of their choice that they already knew for the rest of the period. This benefit does not stack with itself but may be replaced with a different choice if granted to the same character in the same period."
Clarity,Journeyman,CRAFTING AND LABOR,Talents,4,,,At least 1 Knowledge,,When you successfully complete a knowledge challenge (as determined by a Marshal) you gain 1 free use of “Willpower” (that stacks with your normal willpower talent) and 1 free use of “See Invisible” which lasts 1 min when invoked. These effects can be used any time before the end of the Weekend. You may only hold one of each of these effects from this ability at a time.
Cultural Understanding,Journeyman,CRAFTING AND LABOR,Talents,4,,,Blending In and Knowledge: Culture at level 4,1,You gain the Cultural Power of a Culture in which you have Knowledge level 4. This passive works on Poo'kah.
Deep Knowledge,Journeyman,CRAFTING AND LABOR,Talents,5,,,A single knowledge at level 3,,"(Multi-purchase. Separate progression for each knowledge) Pick a Knowledge that you know at level 3 in which to gain +1 level. Knowledges cannot go above level 5. Your knowledge in the chosen subject has increased to the point where you know deep knowledge, lore, and secrets. This skill must be learned separately for each knowledge."
Detective,Journeyman,CRAFTING AND LABOR,Talents,5,,,Sense Motive and Knowledge: Tactics Level 4,,"You may augment your “Sense Motive” with “Greater” for +4 Steam per use. Additionally, you may spend 6 Steam when a Marshal collects an item for the usage of a Pickpocket skill to ask if you witnessed who used the skill. Using this skill in that way cannot benefit from Efficiencies you did not witness the skill happening as determined by the Marshal, you will not learn who did it, but you still spend the Steam."
Didactic Scrolls,Journeyman,CRAFTING AND LABOR,Talents,5,,,Master Teach and Knowledge Arcana at Level 4,,"When using your Master Teach ability, you may expend a charge of a scroll of the skill you are teaching to allow for your Master Teaching to have its time reduced by effects that reduce your teaching time. Alternatively, you may expend a charge of a scroll of a skill you do not know to teach the skill as if you knew it."
Drill Instructor,Journeyman,CRAFTING AND LABOR,Talents,6,,,Training Session,,"You may now use “Training Session” with skills up to Apprentice tier, and the effects of “Training Session” last 3 hours. Additionally, you can use “Training session” to temporarily teach a target a power that another person possesses, that person must be present and willing during the training session."
Excellent Teacher’s Aid,Journeyman,CRAFTING AND LABOR,Talents,6,,,"Scholar, Master Teach, Teaching Assistant",,You may apply your master teaching skills to other teachers.
Exploration Studies,Journeyman,CRAFTING AND LABOR,Talents,4,,,Disarm Traps and Knowledge: Nature at level 4,,"Your Detect Trap radius increases to 10 feet. Additionally, you may augment any defensive feat with “Greater” for +4 Steam if it is used on an attack from a Natural Environmental Hazard."
Historical Precedent,Journeyman,CRAFTING AND LABOR,Talents,5,,,Epiphany and Knowledge: History at level 4,,"After you use Epiphany, you may choose to increase your knowledge level of any Knowledge skill you know to 5 temporarily, and the Marshal will give you information for that skill for the current situation (at which point your Knowledge level returns to normal). If you choose a Knowledge that you already have at level 5, the Marshal may give an additional hint relevant to your chosen knowledge at their discretion."
Improved Study,Journeyman,CRAFTING AND LABOR,Talents,6,,,Docent,,"You may make an additional choice as part of each Study BEA, but you may not choose the same option twice."
Knowledgeable,Journeyman,CRAFTING AND LABOR,Talents,6,,,"Scholar, Group Effort",,"You may now use Group Effort for any Knowledge, regardless of whether you have it. The person you are working with must still have the Knowledge. Both you and the other person gain the information. Knowledges cannot exceed level 5."
Relaxed Educator,Journeyman,CRAFTING AND LABOR,Talents,6,,,,,You can now use Meditate or Rally while Teaching. This Meditate or Rally can only benefit yourself.
Study Guides,Journeyman,CRAFTING AND LABOR,Talents,4,,,Intense Study and Tutor,,"Studying is easier when you have a guide. The time it takes to self-teach a skill decreases by 5 minutes (to a minimum of 5 minutes). Additionally, you may now use “Intense Study” to self-teach any skill of up to Journeyman tier you are eligible to learn, not just Academic skills."
Cultural Charm,Journeyman,CRAFTING AND LABOR,Talents,5,,,Cultural Cues,1,"You understand a culture so well that you can use it in your favor. Choose a culture when purchasing this skill. Spend 1 minute talking to a target of that culture. That Target is charmed to you. Call “Charm (Culture).” The Charm will last for as long as you are actively roleplaying with them (maximum 1 hour), but if you stop actively roleplaying with them, then it will last for 5 minutes."
Master Teach,Journeyman,CRAFTING AND LABOR,Talents,6,,,Tutor,,Spend the full amount of time required to teach your target. Your target instantly learns the ability.
Absent but Not Idle,Journeyman,CRAFTING AND LABOR,Passives,3,,,,,"If you FTNPC an event, each of your characters that have this ability gains +1 Between Event Action of your choice to use between this event and the next. They are considered to have been doing one of their Actions during the Event. This ability still applies even if you gain PC shifts while full-time NPCing."
Anatomical Familiarity,Journeyman,CRAFTING AND LABOR,Passives,5,,,Dissect Components,,"For 1 hour after Dissecting Components from a creature, you gain +2 Healing Proficiencies and +2 First Aid Proficiencies to targets of that creature type and deal +2 physical and magical damage to them as well."
Collaborative Effort,Journeyman,CRAFTING AND LABOR,Passives,4,,,any Journeyman crafting bundle,,"You can lead a group of any number of characters in helping you make an item. The others must all have the appropriate crafting bundle for what you are making, however they can have lower tiers of it depending on how many people are helping (1 tier lower for every two helpers, not including yourself). The total time it takes to craft the item is reduced by 1 minute, to a minimum of 1 minute, for each tier of the appropriate bundle among all your helpers (your own crafting bundle tiers do not count). For example, five people, including you, are trying to craft a Master gadget. You have the Master Gadgets bundle, and your four helpers all have Apprentice Gadgets, making the final product takes 8 minutes less to make."
Dual Crafting,Journeyman,CRAFTING AND LABOR,Passives,4,,,Artisan,,"You can make two different items at once. This means that the crafting time required may be paid simultaneously. Each item counts as its own project for the purposes of Pool costs, component costs, Maker’s Styles, augments, devices being used, Collaborative Efforts, etc. The two items being made do not have to share the same tier, bundle requirements, crafting time, or anything else."
Foraging,Journeyman,CRAFTING AND LABOR,Passives,4,,,Gather Components,,"You may choose to spend double the base time while using Gather Components. If you do, you gain +2 components of the same type and rarity as what you were gathering. This ability may not be used with other abilities or items that reduce harvesting time such as Quick Worker or Harvomatic."
Hopeful Scraper,Journeyman,CRAFTING AND LABOR,Passives,4,,,Salvage Components,,"Breaking down junk for scrap in the hopes of finding something valuable or useful always fills you with energy. Whenever you successfully destroy an item with Salvage Components, you heal +5 Steam or Aether in any combination."
Make Ends Meet,Journeyman,CRAFTING AND LABOR,Passives,5,,,"Part-Time Scrounger, Shift Switching",,Raises and Prospecting now apply to the second profession chosen as part of Shift Switching (the total for that profession is still halved).
Organized Tools,Journeyman,CRAFTING AND LABOR,Passives,2,,,,,"The amount of time you can pause your crafting and augmenting is increased to the end of the current Period, regardless of the item’s tier."
